server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,0,10895.7,304.47,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,1,18691.3,369.05,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,2,21976.6,370.24,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,3,21863.1,369.39,1035,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,4,22294.1,369.6,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,5,22410.1,370.33,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,6,22294.1,371.36,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,7,22412.3,371.53,1035,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,8,22313.3,369.94,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,9,22236.6,372.22,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,10,22265.3,370.89,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,11,22227.0,370.5,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,12,21874.3,369.05,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,13,22227.0,372.31,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,14,21953.3,373.26,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,0,15150.2,362.24,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,1,19524.2,371.68,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,2,22222.2,372.98,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,3,22110.4,372.22,1033,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,4,22537.1,371.77,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,5,22640.7,371.17,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,6,22570.8,371.88,1036,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,7,22611.0,373.4,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,8,22424.6,369.43,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,9,22615.9,371.17,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,10,22620.9,371.17,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,11,22542.0,371.42,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,12,22497.8,371.01,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,13,22532.1,370.39,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,14,22620.9,371.98,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,0,21681.4,351.61,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,1,25766.9,370.28,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,2,28064.9,370.46,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,3,28030.5,370.16,2058,32,,
