server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,0,7132.0,237.76,1033,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,1,7417.0,227.08,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,2,7671.8,232.9,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,3,7017.3,256.08,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,4,7616.9,228.54,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,5,7457.6,221.53,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,6,7621.4,226.76,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,7,7371.2,249.98,1033,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,8,7641.7,232.22,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,9,7531.5,228.78,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,10,7735.5,239.86,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,11,7511.3,224.37,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,12,7654.2,238.17,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,13,7131.0,254.49,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,14,7662.1,235.02,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,0,6801.3,231.25,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,1,7551.9,220.96,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,2,7095.8,252.62,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,3,7758.1,230.55,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,4,7129.1,231.37,1035,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,5,7661.5,228.56,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,6,6992.0,254.98,1033,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,7,7668.3,255.01,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,8,7647.4,233.77,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,9,7459.2,238.18,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,10,7655.3,230.33,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,11,7447.4,232.56,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,12,7644.5,255.7,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,13,7638.9,217.89,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,14,7279.1,239.23,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,0,7373.2,217.01,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,1,7826.6,218.97,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,2,7883.5,242.33,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,3,7875.1,242.61,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,4,7446.1,253.81,2059,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,5,7877.2,258.04,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,6,7851.9,225.42,2059,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,7,7887.5,221.7,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,8,7568.1,252.41,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,9,7839.7,255.37,2058,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,32,10,7904.1,238.82,2058,32,,
