ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-12T17:45:24Z,42,43,31,0,0,200,2424,0.00
2026-09-12T17:45:26Z,43,43,31,0,0,200,2424,0.00
2026-09-12T17:45:28Z,43,43,31,0,0,200,2425,0.00
2026-09-12T17:45:30Z,44,46,31,0,0,200,2425,0.16
2026-09-12T17:45:32Z,44,46,31,0,0,200,2424,0.16
2026-09-12T17:45:34Z,51,46,31,0,99,1600,2424,0.16
2026-09-12T17:45:36Z,55,51,31,0,99,1566,2426,0.23
2026-09-12T17:45:38Z,58,54,31,0,99,1600,2424,0.23
2026-09-12T17:45:40Z,54,56,31,0,100,1122,2425,0.21
2026-09-12T17:45:42Z,55,57,31,0,99,1040,2426,0.21
2026-09-12T17:45:44Z,55,58,31,0,100,1040,2425,0.21
2026-09-12T17:45:46Z,61,59,31,0,100,1395,2425,0.19
2026-09-12T17:45:48Z,64,61,31,0,99,1600,2424,0.19
2026-09-12T17:45:50Z,61,62,31,2167,99,1286,2424,0.18
2026-09-12T17:45:52Z,59,64,31,2309,99,1040,2427,0.18
2026-09-12T17:45:55Z,60,64,31,2506,100,1265,2425,0.18
2026-09-12T17:45:57Z,64,65,31,2523,100,1505,2425,0.16
2026-09-12T17:45:59Z,67,65,31,2705,99,1600,2424,0.16
2026-09-12T17:46:01Z,56,65,31,2897,0,200,2424,0.15
2026-09-12T17:46:03Z,54,63,31,2906,0,200,2425,0.15
2026-09-12T17:46:05Z,54,62,31,2920,0,200,2424,0.15
2026-09-12T17:46:07Z,63,61,31,2929,99,1600,1400,0.22
2026-09-12T17:46:09Z,62,64,31,2929,99,1462,2083,0.22
2026-09-12T17:46:11Z,62,65,31,2938,100,1397,2425,0.28
2026-09-12T17:46:13Z,62,66,31,2952,100,1286,2425,0.28
2026-09-12T17:46:15Z,62,67,31,2952,100,1234,2425,0.26
2026-09-12T17:46:17Z,62,67,31,3099,100,1262,2424,0.26
2026-09-12T17:46:19Z,62,68,31,3243,99,1219,2424,0.26
2026-09-12T17:46:21Z,63,68,31,3366,100,1300,2426,0.24
2026-09-12T17:46:23Z,64,69,31,3517,100,1231,2424,0.24
2026-09-12T17:46:25Z,65,69,31,3690,100,1478,2425,0.30
2026-09-12T17:46:27Z,64,70,31,3826,99,1290,2424,0.30
2026-09-12T17:46:29Z,65,70,31,3947,99,1246,2424,0.30
2026-09-12T17:46:31Z,64,70,31,4006,100,1212,2416,0.27
2026-09-12T17:46:33Z,63,70,31,4120,100,1200,2424,0.27
2026-09-12T17:46:36Z,65,70,31,4148,99,1173,2424,0.25
2026-09-12T17:46:38Z,59,70,31,4166,99,1040,2424,0.25
2026-09-12T17:46:40Z,56,68,31,4194,0,200,2425,0.25
2026-09-12T17:46:42Z,56,66,31,4194,0,200,2425,0.39
2026-09-12T17:46:44Z,54,65,31,4213,0,200,2424,0.39
2026-09-12T17:46:46Z,53,63,31,4032,0,200,2424,0.44
2026-09-12T17:46:48Z,63,62,31,4014,99,1600,2424,0.44
2026-09-12T17:46:50Z,64,62,31,3640,100,1600,2424,0.44
2026-09-12T17:46:52Z,63,62,31,3366,99,1600,2424,0.41
2026-09-12T17:46:54Z,65,62,31,3366,100,1600,2425,0.41
2026-09-12T17:46:56Z,66,63,31,3378,99,1600,2424,0.45
2026-09-12T17:46:58Z,64,63,31,3378,100,1600,2424,0.45
2026-09-12T17:47:00Z,64,63,31,3378,99,1600,1880,0.42
2026-09-12T17:47:02Z,66,64,31,3378,99,1600,2424,0.42
2026-09-12T17:47:04Z,67,64,31,3390,100,1600,2425,0.42
2026-09-12T17:47:06Z,66,64,31,3378,100,1600,2416,0.62
2026-09-12T17:47:08Z,65,64,31,3378,99,1600,2238,0.62
2026-09-12T17:47:10Z,64,65,31,3390,88,200,2424,0.57
2026-09-12T17:47:12Z,62,65,31,3396,99,1062,2424,0.57
2026-09-12T17:47:14Z,62,65,31,3396,99,200,2424,0.57
2026-09-12T17:47:17Z,61,65,31,3390,99,1040,2425,0.85
2026-09-12T17:47:19Z,57,65,31,3409,0,200,2426,0.85
2026-09-12T17:47:21Z,56,64,31,3409,0,200,2424,0.86
2026-09-12T17:47:23Z,54,63,31,3409,0,200,2424,0.86
2026-09-12T17:47:25Z,54,62,31,3409,0,200,2424,0.86
2026-09-12T17:47:27Z,59,63,31,3099,99,200,2424,0.87
2026-09-12T17:47:29Z,62,64,31,3083,86,1040,2424,0.87
2026-09-12T17:47:31Z,68,67,31,3083,100,1383,1400,0.80
2026-09-12T17:47:33Z,71,68,31,3099,99,1438,1702,0.80
2026-09-12T17:47:35Z,68,68,31,3099,100,1600,1702,0.74
2026-09-12T17:47:37Z,71,68,31,3104,99,1600,1702,0.74
2026-09-12T17:47:39Z,70,68,31,3289,100,1600,1704,0.74
2026-09-12T17:47:41Z,66,69,31,3472,100,1345,2426,0.68
2026-09-12T17:47:43Z,72,69,31,3504,99,1355,1702,0.68
2026-09-12T17:47:45Z,69,70,31,3524,100,1600,1757,0.62
2026-09-12T17:47:47Z,68,70,31,3591,99,1518,1882,0.62
2026-09-12T17:47:50Z,64,71,31,3712,100,1082,2424,0.62
2026-09-12T17:47:52Z,64,71,31,3803,100,1040,2424,0.65
2026-09-12T17:47:54Z,61,71,31,4032,99,1040,2425,0.65
