server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,0,646.1,58.95,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,1,679.7,59.53,1036,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,2,682.0,59.86,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,3,681.0,59.56,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,4,681.8,60.09,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,5,680.7,59.84,1035,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,6,682.6,62.76,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,7,684.8,63.06,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,8,686.0,63.1,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,9,688.2,61.9,1033,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,10,683.6,62.67,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,11,683.7,62.12,1035,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,12,682.6,62.76,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,13,681.3,62.29,1034,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,32,14,679.0,62.8,1035,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,0,648.1,58.37,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,1,683.6,60.4,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,2,684.4,60.58,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,3,683.1,60.13,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,4,681.5,61.01,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,5,682.1,60.77,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,6,682.2,60.84,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,7,681.6,65.03,1034,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,1024,64,8,689.9,60.47,1034,64,,
