ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-13T21:47:43Z,42,42,30,0,0,200,2425,0.21
2026-09-13T21:47:45Z,42,42,30,0,0,200,2424,0.19
2026-09-13T21:47:47Z,42,43,30,0,0,200,2425,0.19
2026-09-13T21:47:50Z,42,45,30,0,0,200,2424,0.19
2026-09-13T21:47:52Z,42,45,30,0,0,200,2425,0.26
2026-09-13T21:47:54Z,49,52,30,0,100,1040,2424,0.26
2026-09-13T21:47:56Z,52,55,30,0,51,1040,2425,0.24
2026-09-13T21:47:58Z,53,57,30,0,99,1040,2425,0.24
2026-09-13T21:48:00Z,54,59,30,0,99,1040,2425,0.24
2026-09-13T21:48:02Z,56,60,30,0,99,1172,2424,0.22
2026-09-13T21:48:04Z,58,61,30,2226,100,1229,2424,0.22
2026-09-13T21:48:06Z,58,63,30,2425,100,1080,2424,0.20
2026-09-13T21:48:08Z,59,63,30,2659,99,1098,2424,0.20
2026-09-13T21:48:10Z,60,64,30,2929,100,1243,2424,0.20
2026-09-13T21:48:12Z,62,65,30,3073,99,1233,2427,0.27
2026-09-13T21:48:14Z,61,65,30,3249,99,1239,2424,0.27
2026-09-13T21:48:16Z,61,66,30,3511,99,1262,2424,0.24
2026-09-13T21:48:18Z,61,67,30,3787,100,1261,2424,0.24
2026-09-13T21:48:20Z,62,67,30,3810,99,1224,2424,0.22
2026-09-13T21:48:22Z,62,67,30,3826,100,1254,2424,0.22
2026-09-13T21:48:24Z,54,66,30,3842,0,200,2424,0.22
2026-09-13T21:48:26Z,53,64,30,3842,0,200,2424,0.29
2026-09-13T21:48:28Z,53,62,30,3865,0,200,2426,0.29
2026-09-13T21:48:31Z,61,61,30,3881,0,200,2425,0.26
2026-09-13T21:48:33Z,59,60,30,3865,99,1465,2425,0.26
2026-09-13T21:48:35Z,57,60,30,3409,100,1040,2424,0.26
2026-09-13T21:48:37Z,63,60,30,3396,99,1600,2424,0.24
2026-09-13T21:48:39Z,59,61,30,3409,100,1224,2424,0.24
