experiment,server,pp,metric,source,mean,sd,median,n
qwen3.5-0.8b-all-servers,llama-cpp,1024,pp,client,11716.803,564.653,11741.473,20
qwen3.5-0.8b-all-servers,llama-cpp,2048,pp,client,16651.710,320.056,16679.695,20
qwen3.5-0.8b-all-servers,llama-cpp,4096,pp,client,21079.696,298.856,21088.611,20
qwen3.5-0.8b-all-servers,llama-cpp,8192,pp,client,24166.430,192.992,24170.656,20
qwen3.5-0.8b-all-servers,llamafile,1024,pp,client,10161.550,136.894,10111.788,20
qwen3.5-0.8b-all-servers,llamafile,2048,pp,client,15002.924,86.351,14999.503,20
qwen3.5-0.8b-all-servers,llamafile,4096,pp,client,19576.739,115.619,19558.848,20
qwen3.5-0.8b-all-servers,llamafile,8192,pp,client,22809.260,93.315,22810.639,20
qwen3.5-0.8b-all-servers,lm-studio,1024,pp,client,10793.658,137.380,10788.077,20
qwen3.5-0.8b-all-servers,lm-studio,2048,pp,client,15701.605,182.337,15686.220,20
qwen3.5-0.8b-all-servers,lm-studio,4096,pp,client,20477.956,174.012,20470.450,20
qwen3.5-0.8b-all-servers,lm-studio,8192,pp,client,23600.951,143.035,23590.298,20
qwen3.5-0.8b-all-servers,ollama,1024,pp,client,11394.194,367.690,11372.948,20
qwen3.5-0.8b-all-servers,ollama,2048,pp,client,15853.537,854.279,15842.785,20
qwen3.5-0.8b-all-servers,ollama,4096,pp,client,19769.856,974.947,19955.271,20
qwen3.5-0.8b-all-servers,ollama,8192,pp,client,21908.394,416.461,21888.476,20
qwen3.5-0.8b-all-servers,llama-cpp,1024,tg,client,366.706,1.006,366.740,10
qwen3.5-0.8b-all-servers,llama-cpp,2048,tg,client,365.429,1.773,365.444,10
qwen3.5-0.8b-all-servers,llama-cpp,4096,tg,client,360.062,1.551,360.103,10
qwen3.5-0.8b-all-servers,llama-cpp,8192,tg,client,347.910,1.652,347.935,10
qwen3.5-0.8b-all-servers,llamafile,1024,tg,client,379.131,0.614,379.129,10
qwen3.5-0.8b-all-servers,llamafile,2048,tg,client,377.245,0.436,377.278,10
qwen3.5-0.8b-all-servers,llamafile,4096,tg,client,372.029,0.780,372.117,10
qwen3.5-0.8b-all-servers,llamafile,8192,tg,client,358.271,1.501,358.219,10
qwen3.5-0.8b-all-servers,lm-studio,1024,tg,client,236.174,8.647,236.382,10
qwen3.5-0.8b-all-servers,lm-studio,2048,tg,client,237.339,7.486,236.965,10
qwen3.5-0.8b-all-servers,lm-studio,4096,tg,client,234.005,8.350,234.226,10
qwen3.5-0.8b-all-servers,lm-studio,8192,tg,client,239.711,9.793,239.190,10
