experiment,server,pp,metric,source,mean,sd,median,n
qwen3.5-0.8b-all-servers,llama-cpp,1024,pp,client,7143.273,287.449,7224.803,20
qwen3.5-0.8b-all-servers,llama-cpp,2048,pp,client,7621.377,178.547,7652.776,20
qwen3.5-0.8b-all-servers,llama-cpp,4096,pp,client,7531.047,139.963,7548.713,20
qwen3.5-0.8b-all-servers,llama-cpp,8192,pp,client,7127.466,36.965,7135.885,20
qwen3.5-0.8b-all-servers,llamafile,1024,pp,client,7342.763,38.333,7343.969,20
qwen3.5-0.8b-all-servers,llamafile,2048,pp,client,7687.226,17.240,7687.964,20
qwen3.5-0.8b-all-servers,llamafile,4096,pp,client,7641.530,19.830,7644.525,20
qwen3.5-0.8b-all-servers,llamafile,8192,pp,client,7132.343,8.821,7132.390,20
qwen3.5-0.8b-all-servers,lm-studio,1024,pp,client,5849.306,153.315,5869.930,20
qwen3.5-0.8b-all-servers,lm-studio,2048,pp,client,6685.456,106.625,6668.267,20
qwen3.5-0.8b-all-servers,lm-studio,4096,pp,client,7045.881,76.370,7034.308,20
qwen3.5-0.8b-all-servers,lm-studio,8192,pp,client,6816.660,38.214,6813.020,20
qwen3.5-0.8b-all-servers,ollama,1024,pp,client,7171.239,144.800,7244.262,20
qwen3.5-0.8b-all-servers,ollama,2048,pp,client,7695.786,47.466,7703.313,20
qwen3.5-0.8b-all-servers,ollama,4096,pp,client,7757.676,37.265,7756.278,20
qwen3.5-0.8b-all-servers,ollama,8192,pp,client,7276.823,18.072,7277.838,20
qwen3.5-0.8b-all-servers,llama-cpp,1024,tg,client,233.624,12.053,229.585,10
qwen3.5-0.8b-all-servers,llama-cpp,2048,tg,client,251.974,9.934,252.263,10
qwen3.5-0.8b-all-servers,llama-cpp,4096,tg,client,237.079,12.443,244.032,10
qwen3.5-0.8b-all-servers,llama-cpp,8192,tg,client,235.415,9.905,239.050,10
qwen3.5-0.8b-all-servers,llamafile,1024,tg,client,242.309,1.974,241.849,10
qwen3.5-0.8b-all-servers,llamafile,2048,tg,client,239.410,2.743,239.209,10
qwen3.5-0.8b-all-servers,llamafile,4096,tg,client,235.377,0.956,235.528,10
