experiment,server,pp,metric,source,mean,sd,median,n
qwen3.5-0.8b-all-servers,llama-cpp,1024,pp,client,852.429,21.856,852.804,20
qwen3.5-0.8b-all-servers,llama-cpp,2048,pp,client,900.263,11.534,900.324,20
qwen3.5-0.8b-all-servers,llama-cpp,4096,pp,client,847.106,1.422,847.309,20
qwen3.5-0.8b-all-servers,llama-cpp,8192,pp,client,697.525,0.905,697.580,20
qwen3.5-0.8b-all-servers,llamafile,1024,pp,client,861.185,4.823,861.921,20
qwen3.5-0.8b-all-servers,llamafile,2048,pp,client,896.940,2.202,897.042,20
qwen3.5-0.8b-all-servers,llamafile,4096,pp,client,845.208,1.177,845.240,20
qwen3.5-0.8b-all-servers,llamafile,8192,pp,client,696.544,1.815,696.178,20
qwen3.5-0.8b-all-servers,lm-studio,1024,pp,client,666.580,2.824,666.623,20
qwen3.5-0.8b-all-servers,lm-studio,2048,pp,client,699.387,1.761,699.308,20
qwen3.5-0.8b-all-servers,lm-studio,4096,pp,client,674.859,1.003,674.730,20
qwen3.5-0.8b-all-servers,lm-studio,8192,pp,client,585.329,1.429,585.496,20
qwen3.5-0.8b-all-servers,ollama,1024,pp,client,756.248,12.069,755.021,20
qwen3.5-0.8b-all-servers,ollama,2048,pp,client,813.356,1.587,812.916,20
qwen3.5-0.8b-all-servers,ollama,4096,pp,client,758.266,7.164,757.711,20
qwen3.5-0.8b-all-servers,ollama,8192,pp,client,633.241,1.311,633.303,20
qwen3.5-0.8b-all-servers,llama-cpp,1024,tg,client,59.496,0.758,59.658,10
qwen3.5-0.8b-all-servers,llama-cpp,2048,tg,client,58.707,1.328,58.913,10
qwen3.5-0.8b-all-servers,llama-cpp,4096,tg,client,57.882,1.389,58.140,10
qwen3.5-0.8b-all-servers,llama-cpp,8192,tg,client,56.469,1.565,56.252,10
qwen3.5-0.8b-all-servers,llamafile,1024,tg,client,64.988,0.985,64.897,10
qwen3.5-0.8b-all-servers,llamafile,2048,tg,client,64.278,0.709,64.349,10
qwen3.5-0.8b-all-servers,llamafile,4096,tg,client,61.855,2.738,62.796,10
